,V1 (V),Ang1 (°),V2 (V),Ang2 (°),V3 (V),Ang3 (°)
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.011,0.0,277.018,120.0,277.006,-120.0
0,277.019,-0.02,277.021,119.99,276.981,-120.02
0,277.033,-0.03,277.004,119.98,276.977,-120.03
0,277.038,-0.04,276.973,119.96,276.984,-120.05
0,276.91,-0.08,276.939,119.88,277.08,-120.1
0,276.84,-0.09,276.971,119.86,277.103,-120.1
0,276.84,-0.22,277.01,119.78,276.913,-120.19
0,276.967,-0.2,277.0,119.83,276.844,-120.18
0,276.899,-0.17,277.011,119.83,276.932,-120.15
0,276.919,-0.14,276.968,119.85,276.986,-120.14
0,276.889,-0.28,276.938,119.74,276.839,-120.26
0,276.917,-0.25,276.902,119.76,276.884,-120.25
0,276.89,-0.25,276.94,119.76,276.885,-120.23
0,276.915,-0.19,276.892,119.79,276.971,-120.21
0,276.93,-0.15,276.986,119.85,276.953,-120.14
0,276.924,-0.16,276.861,119.81,277.022,-120.19
0,276.925,-0.16,276.858,119.81,277.026,-120.19
0,276.897,-0.15,276.897,119.82,277.044,-120.16
0,276.982,-0.1,277.018,119.91,276.938,-120.09
0,276.973,-0.15,276.913,119.84,276.962,-120.17
0,276.96,-0.14,276.928,119.85,276.976,-120.15
0,276.973,-0.13,276.923,119.86,276.98,-120.15
0,276.959,-0.13,276.959,119.87,276.976,-120.13
0,276.98,-0.13,276.929,119.86,276.968,-120.14
0,276.991,-0.11,276.903,119.88,277.004,-120.13
0,276.994,-0.09,276.897,119.89,277.031,-120.12
0,276.98,-0.09,276.91,119.89,277.037,-120.11
0,276.994,-0.07,276.936,119.91,277.022,-120.09
0,277.003,-0.07,276.938,119.92,277.015,-120.09
0,276.991,-0.07,276.944,119.92,277.022,-120.08
0,276.981,-0.06,276.958,119.92,277.026,-120.07
0,276.942,-0.11,276.997,119.89,276.983,-120.1
0,276.943,-0.11,276.998,119.89,276.982,-120.1
0,276.947,-0.1,276.985,119.89,276.998,-120.1
0,276.947,-0.1,276.986,119.89,276.997,-120.1
0,276.938,-0.12,277.007,119.88,276.969,-120.1
0,276.996,-0.11,276.92,119.88,276.989,-120.13
0,277.0,-0.1,276.903,119.89,277.008,-120.13
0,276.986,-0.07,276.971,119.92,277.002,-120.08
0,276.94,-0.12,276.889,119.85,277.051,-120.14
0,276.972,-0.1,276.886,119.87,277.048,-120.13
0,277.001,-0.07,276.938,119.92,277.017,-120.09
0,276.998,-0.06,276.956,119.93,277.014,-120.07
0,276.991,-0.06,276.962,119.93,277.018,-120.07
0,276.956,-0.06,277.014,119.94,277.01,-120.05
0,276.939,-0.05,277.041,119.94,277.009,-120.04
0,276.989,-0.06,277.088,119.97,276.919,-120.03
0,276.991,-0.06,277.079,119.97,276.931,-120.03
0,276.992,-0.05,277.076,119.97,276.935,-120.03
0,276.992,-0.05,277.078,119.97,276.932,-120.03
0,276.996,-0.04,277.064,119.98,276.95,-120.02
0,277.021,-0.05,277.032,119.97,276.945,-120.04
0,277.02,-0.05,277.034,119.97,276.943,-120.04
0,277.02,-0.05,277.034,119.97,276.943,-120.04
0,277.022,-0.05,277.034,119.97,276.942,-120.04
0,277.022,-0.05,277.034,119.97,276.941,-120.04
0,277.025,-0.05,277.032,119.97,276.942,-120.04
0,277.027,-0.05,277.029,119.97,276.942,-120.04
0,277.049,-0.06,277.0,119.96,276.936,-120.06
0,277.049,-0.06,277.0,119.96,276.936,-120.06
0,277.049,-0.06,277.0,119.96,276.936,-120.06
0,277.058,-0.04,276.97,119.97,276.973,-120.05
0,277.049,-0.06,277.0,119.96,276.938,-120.06
0,277.05,-0.06,276.998,119.96,276.94,-120.06
0,277.049,-0.06,277.001,119.96,276.936,-120.06
0,277.049,-0.06,277.001,119.96,276.936,-120.06
0,277.049,-0.06,276.999,119.96,276.938,-120.06
0,277.05,-0.05,276.995,119.96,276.946,-120.06
0,277.049,-0.06,277.0,119.96,276.938,-120.06
0,277.048,-0.06,277.001,119.96,276.936,-120.06
0,277.039,-0.06,277.014,119.96,276.939,-120.05
0,277.028,-0.05,277.027,119.97,276.944,-120.04
0,277.105,-0.05,276.904,119.96,276.969,-120.08
0,277.061,-0.03,276.962,119.97,276.982,-120.05
0,277.106,-0.05,276.902,119.96,276.968,-120.08
